100 1634
86 7 8
98 2 1
43 37 5
27 49 1
34 27 10
32 31 6
70 16 10
66 23 3
13 68 3
36 53 1
47 36 3
70 11 4
33 55 8
48 5 1
18 26 1
96 66 6
98 41 7
49 82 2
29 66 2
51 91 10
49 76 5
52 43 5
81 71 2
91 37 1
98 85 10
28 54 4
34 75 6
21 61 1
24 55 5
40 49 4
59 57 10
2 4 9
56 74 4
15 81 3
57 14 6
20 73 2
98 87 5
43 30 9
35 16 2
67 56 4
95 89 1
40 46 2
51 95 6
23 95 5
95 20 9
20 14 5
59 66 5
69 59 2
13 81 9
65 7 5
98 33 2
6 18 2
43 20 3
71 23 8
13 1 1
51 96 4
57 95 8
53 48 10
47 31 1
34 5 2
27 47 6
74 38 7
81 85 2
24 24 3
26 28 10
65 65 7
50 31 1
90 16 3
17 19 3
44 52 10
9 40 7
53 93 3
3 96 2
4 46 5
63 29 1
20 7 1
54 34 5
75 16 7
81 6 5
51 31 1
25 32 6
3 19 3
67 32 5
4 52 6
62 41 10
6 23 2
78 4 2
27 19 9
82 36 5
0 45 10
40 34 5
85 55 1
5 61 3
18 18 3
76 76 7
73 59 10
37 49 10
92 79 3
19 28 10
62 77 7
5 7 4
33 54 5
99 62 2
57 32 6
32 46 5
52 12 10
5 77 10
77 13 5
46 25 1
10 82 6
6 52 3
56 25 9
74 97 8
28 4 4
49 86 1
67 55 3
61 88 1
40 96 5
69 30 7
64 7 10
76 20 6
29 2 6
84 64 2
22 45 3
59 74 5
65 29 8
67 98 5
31 46 4
5 50 7
16 96 6
25 6 7
61 48 6
76 90 9
13 18 6
42 62 2
27 12 8
52 79 2
81 15 2
52 18 2
7 60 10
16 9 1
15 86 7
24 33 8
96 54 2
66 57 6
52 84 3
5 82 6
38 72 2
70 38 3
79 59 1
78 88 4
88 47 10
36 86 10
57 83 10
86 42 7
1 33 6
20 76 5
72 74 10
79 31 8
38 93 7
8 68 9
14 92 6
27 8 5
1 88 1
51 9 7
59 19 5
33 38 6
42 80 9
66 62 2
44 92 10
94 44 5
56 56 7
33 30 7
28 12 2
90 18 4
6 20 6
83 7 3
26 83 3
26 37 10
50 93 4
19 14 2
82 24 1
36 39 4
46 61 6
86 12 9
38 42 6
27 45 5
12 8 8
10 67 8
42 88 6
43 88 2
70 65 4
72 86 10
1 17 3
54 8 4
23 22 5
21 3 10
46 18 3
56 26 5
6 22 2
54 55 4
78 63 6
32 38 10
51 1 4
99 40 10
85 20 8
89 82 1
2 79 9
13 79 4
32 61 3
61 38 10
36 90 1
36 63 2
90 81 10
37 90 8
63 44 6
48 73 1
82 96 7
66 30 4
5 20 2
86 80 10
8 86 2
55 53 10
3 84 4
21 99 9
14 70 3
63 84 7
54 40 6
46 27 3
68 68 9
40 98 8
93 72 5
25 30 1
68 77 6
57 64 4
62 36 10
1 12 3
88 49 10
36 46 8
59 75 6
82 38 8
23 49 2
11 20 8
94 86 7
78 67 10
79 77 4
20 42 9
34 90 9
0 89 1
66 74 6
18 75 1
33 61 10
32 35 4
94 20 7
15 48 2
94 2 2
56 36 6
11 22 8
92 52 1
88 91 4
4 32 5
6 98 8
22 17 2
77 97 1
21 8 8
73 84 5
3 1 6
52 17 1
26 93 10
72 14 4
88 77 1
73 56 2
18 55 9
99 87 9
50 61 1
35 60 8
34 89 6
89 97 1
38 53 3
94 5 3
61 42 6
60 42 1
61 72 4
62 23 5
57 33 2
33 40 1
88 60 6
23 6 6
49 92 9
58 49 2
65 63 1
78 39 10
95 45 2
30 68 1
88 61 2
87 65 8
33 28 5
7 7 2
31 69 8
52 82 4
64 96 4
92 46 1
97 42 8
32 11 8
60 6 5
50 17 7
7 37 2
58 37 8
24 96 10
66 55 7
39 38 5
59 79 9
47 83 10
59 90 5
92 66 5
67 9 9
39 59 5
62 95 7
66 28 9
97 8 2
31 70 1
52 77 9
24 36 3
96 52 8
93 9 3
92 44 4
95 27 7
97 5 2
30 78 1
54 29 2
92 10 4
19 59 2
49 31 5
77 70 3
95 70 8
50 30 2
68 28 1
34 13 3
50 29 6
23 37 10
45 54 7
64 97 8
95 37 9
89 16 2
23 13 3
73 1 8
42 76 10
98 21 7
79 5 5
85 87 8
66 83 8
66 93 2
5 30 7
43 50 6
60 30 5
35 72 10
21 30 4
31 74 6
85 43 2
35 99 3
73 48 10
59 14 9
57 97 8
2 56 2
84 76 1
46 66 1
24 63 9
16 92 9
60 78 6
39 92 6
47 37 5
73 53 9
84 72 9
5 87 8
14 22 7
9 92 1
23 32 8
67 86 5
20 39 8
69 90 1
30 47 2
87 34 2
91 40 6
72 47 3
7 95 2
20 26 1
74 20 2
52 73 6
10 98 5
90 94 5
35 4 3
88 68 4
55 52 5
25 57 4
4 25 9
14 90 3
82 87 9
9 45 2
6 69 4
4 13 7
11 18 10
59 53 2
79 97 5
13 39 9
14 58 8
69 13 6
48 90 6
23 27 2
97 3 8
13 43 6
74 70 8
71 35 10
81 89 8
75 68 9
32 75 3
3 35 2
2 67 7
58 45 9
62 96 8
29 36 4
4 30 6
27 29 5
30 13 5
27 9 6
11 40 8
39 78 2
21 57 2
49 8 4
68 8 6
69 60 3
73 3 1
25 54 3
2 83 1
44 47 3
50 88 2
20 36 7
23 61 2
79 73 7
44 71 4
40 42 6
78 26 9
28 61 5
79 96 7
76 12 9
48 47 9
84 49 1
14 76 3
87 45 2
83 26 5
83 50 5
6 36 10
78 68 4
46 67 6
80 63 5
15 34 10
5 24 7
27 27 1
73 92 7
16 74 3
88 28 4
8 19 10
23 82 10
29 76 10
87 55 1
89 49 5
97 84 2
52 60 5
32 41 1
63 0 8
8 2 1
97 17 7
28 42 4
76 93 9
24 32 3
29 5 8
0 78 5
42 10 5
19 74 3
29 16 8
89 94 2
49 9 4
98 7 5
28 62 9
76 45 3
82 66 3
67 48 6
77 33 5
71 43 1
22 48 2
41 73 7
74 24 10
38 74 1
87 77 5
21 45 5
4 38 4
28 45 3
22 37 4
29 67 3
87 22 5
28 49 1
18 86 7
20 43 6
17 53 8
70 91 4
84 37 7
49 52 9
3 57 2
65 55 9
99 50 9
88 65 4
37 63 4
57 11 2
74 5 7
16 83 6
6 63 8
62 30 5
48 23 8
89 68 2
2 39 6
32 64 4
60 26 2
16 33 6
96 12 6
43 7 4
42 27 9
84 80 9
30 16 2
39 97 7
63 22 4
22 32 9
23 48 10
71 30 9
33 18 10
42 55 7
81 83 2
72 57 2
21 88 8
97 65 3
93 77 2
79 67 10
39 70 10
87 66 1
60 95 5
14 55 10
33 45 4
30 32 7
36 7 4
38 67 8
21 15 1
1 89 6
36 47 10
11 15 9
91 92 10
61 18 1
91 91 10
25 93 7
65 96 9
34 35 4
9 0 6
78 31 1
26 69 7
39 75 1
82 99 2
93 33 1
58 3 8
77 74 9
21 33 8
1 1 10
16 85 5
85 60 4
20 22 7
14 1 4
51 44 9
62 39 8
89 98 7
51 41 4
61 44 1
